"106年06月22日 大盤統計資訊"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
="00631L","元大台灣50正2","1,757,252","427","56,462,253","32.10","32.24","31.96","32.23","+","0.28","32.22","2","32.23","197","0.00",
="00632R","元大台灣50反1","78,971,611","6,760","1,117,341,265","14.17","14.20","14.12","14.12","-","0.07","14.12","2,629","14.13","99","0.00",
="00633L","富邦上証正2","72,910,103","12,795","2,826,260,838","37.99","39.56","37.87","39.55","+","2.11","39.54","8","39.55","254","0.00",
="00634R","富邦上証反1","3,845,000","429","31,688,930","8.36","8.36","8.17","8.17","-","0.21","8.17","9","8.19","52","0.00",
="00635U","元大S&P黃金","2,297,144","312","45,396,388","19.73","19.78","19.73","19.78","+","0.12","19.77","15","19.78","37","0.00",
="00636","國泰中國A50","4,564,000","1,014","80,719,670","17.49","17.87","17.44","17.85","+","0.60","17.85","21","17.86","50","0.00",
="00637L","元大滬深300正2","156,184,518","16,893","2,283,695,480","14.31","14.92","14.29","14.92","+","0.80","14.91","18","14.92","1,159","0.00",
="00638R","元大滬深300反1","115,000","32","1,926,330","16.80","16.84","16.65","16.65","-","0.35","16.62","1","16.65","18","0.00",
="00639","富邦深100","21,316,909","2,891","214,260,030","9.98","10.15","9.98","10.15","+","0.26","10.14","110","10.15","240","0.00",
="00640L","富邦日本正2","760,000","70","15,372,540","20.18","20.28","20.14","20.20","+","0.01","20.19","2","20.20","316","0.00",
="00641R","富邦日本反1","621,000","58","10,230,850","16.49","16.51","16.45","16.48"," ","0.00","16.48","3","16.49","50","0.00",
="00642U","元大S&P石油","20,718,198","5,256","311,777,036","15.08","15.09","14.97","15.04","-","0.34","15.03","208","15.04","215","0.00",
="00643","群益深証中小","5,229,100","862","72,952,625","13.83","14.02","13.83","14.02","+","0.27","14.00","7","14.02","134","0.00",
="00643K","群益深証中小+R","0","0","0","--","--","--","--"," ","0.00","3.17","50","3.26","15","0.00",
="00645","富邦日本","3,634","7","74,836","20.60","20.64","20.60","20.60","-","0.03","20.60","58","20.65","13","0.00",
="00646","元大S&P500","60,000","18","1,329,210","22.14","22.18","22.13","22.13","-","0.03","22.14","1","22.17","1","0.00",
="00647L","元大S&P500正2","1,000","1","26,260","26.26","26.26","26.26","26.26","-","0.32","26.33","50","26.52","20","0.00",
="00648R","元大S&P500反1","780,000","112","12,168,650","15.62","15.62","15.58","15.59","+","0.01","15.58","153","15.59","4","0.00",
="00649","FH香港","121,000","13","2,244,400","18.46","18.63","18.46","18.63","+","0.23","18.56","52","18.63","10","0.00",
="00650L","FH香港正2","812,000","62","21,317,600","26.00","26.36","25.84","26.35","+","0.38","26.33","3","26.35","19","0.00",
="00651R","FH香港反1","107,000","13","1,086,790","10.22","10.23","10.12","10.16","-","0.03","10.13","1","10.16","57","0.00",
="00652","富邦印度","197,152","57","4,354,724","22.00","22.15","22.00","22.14","+","0.16","22.14","102","22.15","2","0.00",
="00653L","富邦印度正2","647,000","107","17,067,900","26.25","26.48","26.25","26.46","+","0.26","26.46","72","26.48","3","0.00",
="00654R","富邦印度反1","74,000","20","1,197,410","16.23","16.23","16.15","16.15","-","0.08","16.15","74","16.17","30","0.00",
="00655L","國泰中國A50正2","10,114,772","2,608","287,042,173","27.90","29.02","27.60","28.99","+","1.72","28.98","18","28.99","39","0.00",
="00656R","國泰中國A50反1","45,000","16","692,550","15.51","15.51","15.27","15.27","-","0.37","15.24","61","15.27","204","0.00",
="00657","國泰日經225","31,000","4","756,050","24.35","24.44","24.35","24.44","+","0.05","24.39","30","24.47","25","0.00",
="00658L","國泰日本正2","81,000","8","2,397,070","29.55","29.65","29.52","29.57","+","0.01","29.58","20","29.64","40","0.00",
="00659R","國泰日本反1","30,000","5","448,130","14.94","14.94","14.93","14.93","+","0.01","14.93","1","14.94","58","0.00",
="00660","元大歐洲50","640,000","28","15,980,190","24.98","24.98","24.90","24.94","-","0.09","24.93","1","24.94","7","0.00",
="00661","元大日經225","0","0","0","--","--","--","--"," ","0.00","25.07","10","25.28","665","0.00",
="00662","富邦NASDAQ","544,408","39","13,336,909","24.41","24.53","24.41","24.53","+","0.32","24.53","52","24.58","15","0.00",
="00663L","國泰臺灣加權正2","1,505,000","137","43,964,210","29.21","29.32","29.05","29.27","+","0.26","29.27","98","29.28","200","0.00",
="00664R","國泰臺灣加權反1","2,913,000","351","46,748,740","16.07","16.10","16.02","16.02","-","0.06","16.01","345","16.02","50","0.00",
="00665L","富邦H股正2","2,883,000","418","73,471,690","25.17","25.89","24.95","25.85","+","0.67","25.84","1","25.85","50","0.00",
="00666R","富邦H股反1","406,000","33","6,584,090","16.30","16.35","16.01","16.02","-","0.20","16.02","48","16.04","25","0.00",
="00667","元大韓國","21,000","9","462,510","22.00","22.20","21.80","22.15","+","0.15","21.95","1","22.10","1","0.00",
="00668","國泰美國道瓊","16,000","6","363,530","22.73","22.73","22.71","22.72","-","0.08","22.70","50","22.78","80","0.00",
="00669R","國泰美國道瓊反1","281,000","40","4,625,690","16.48","16.48","16.44","16.44"," ","0.00","16.44","19","16.45","3","0.00",
="00670L","富邦NASDAQ正2","700,000","49","16,482,080","23.46","23.62","23.46","23.62","+","0.67","23.60","1","23.62","6","0.00",
="00671R","富邦NASDAQ反1","700,000","46","12,675,640","18.17","18.17","18.08","18.08","-","0.24","18.08","167","18.11","129","0.00",
="00672L","元大S&P原油正2","72,358,337","9,898","799,763,097","11.13","11.13","10.90","11.04","-","0.47","11.03","681","11.04","1,359","0.00",
="00673R","元大S&P原油反1","1,617,000","303","38,986,990","24.02","24.24","24.02","24.14","+","0.50","24.13","78","24.14","55","0.00",
="00674R","元大S&P黃金反1","342,000","117","6,827,900","19.98","19.98","19.93","19.93","-","0.14","19.93","74","19.94","2","0.00",
="00675L","富邦臺灣加權正2","1,904,250","126","23,966,117","12.62","12.67","12.55","12.66","+","0.12","12.64","800","12.66","95","0.00",
="00676R","富邦臺灣加權反1","6,461,000","456","56,380,500","8.72","8.75","8.71","8.72","-","0.04","8.71","115","8.72","680","0.00",
="00677U","富邦VIX","2,863,000","374","28,692,870","10.00","10.04","10.00","10.03","+","0.05","10.02","200","10.03","38","0.00",
="00678","群益NBI生技","2,986,317","597","62,974,768","20.50","21.22","20.50","21.20","+","0.93","21.15","7","21.20","50","0.00",
="00680L","元大美債20正2","85,000","11","1,840,710","21.55","21.66","21.55","21.66","+","0.11","21.65","1","21.66","4","0.00",
="00681R","元大美債20反1","66,000","7","1,227,520","18.62","18.62","18.59","18.59","-","0.06","18.57","50","18.59","11","0.00",
="00682U","元大美元指數","29,000","8","553,080","19.12","19.12","19.05","19.05","-","0.05","19.06","1","19.12","4","0.00",
="00683L","元大美元指數正2","69,000","25","1,269,900","18.43","18.43","18.39","18.39","-","0.15","18.40","15","18.42","2","0.00",
="00684R","元大美元指數反1","1,000","1","20,550","20.55","20.55","20.55","20.55","X","0.00","20.55","99","20.63","120","0.00",
="00685L","群益臺灣加權正2","802,000","24","8,882,570","11.07","11.11","11.03","11.11","+","0.07","11.10","300","11.12","200","0.00",
="00686R","群益臺灣加權反1","3,438,000","99","32,580,580","9.48","9.51","9.46","9.46","-","0.05","9.45","326","9.47","403","0.00",
="00688L","國泰20年美債正2","197,000","11","4,322,600","21.92","21.98","21.92","21.95","+","0.18","21.89","150","21.92","5","0.00",
="00689R","國泰20年美債反1","233,000","12","4,388,270","18.86","18.86","18.78","18.79","-","0.08","18.79","130","18.81","1","0.00",
="00690","兆豐藍籌30","771,000","98","16,001,440","20.66","20.77","20.66","20.77","+","0.11","20.77","100","20.78","2","0.00",
="00691R","兆豐藍籌30反1","7,000","3","132,720","18.96","18.96","18.96","18.96","-","0.04","18.90","1","18.94","80","0.00",
="00692","富邦公司治理","1,899,400","276","39,213,919","20.69","20.69","20.61","20.68","+","0.02","20.68","140","20.69","33","0.00",
="00693U","華頓S&P黃豆","1,413,000","142","26,988,570","19.11","19.13","19.07","19.11","-","0.25","19.10","5","19.11","243","0.00",
="008201","BP上證50","27,100","71","2,336,105","85.40","87.40","85.00","87.40","+","2.00","87.25","7","87.95","4","0.00",
="01001T","土銀富邦R1","34,000","8","472,600","13.90","13.90","13.90","13.90","-","0.02","13.88","1","13.90","152","0.00",
="01002T","土銀國泰R1","229,000","51","3,259,880","14.25","14.25","14.22","14.24","-","0.01","14.23","21","14.24","3","0.00",
="01003T","兆豐新光R1","331,000","60","4,660,460","14.08","14.08","14.07","14.08"," ","0.00","14.08","30","14.10","16","0.00",
="01004T","土銀富邦R2","40,000","5","515,730","12.90","12.90","12.87","12.90"," ","0.00","12.86","2","12.90","193","0.00",
="01007T","兆豐國泰R2","20,000","6","284,000","14.20","14.20","14.20","14.20"," ","0.00","14.18","1","14.20","119","0.00",
="03001P","臺股指永豐6A售02","257,000","8","77,270","0.31","0.31","0.30","0.31"," ","0.00","0.29","30","0.30","30","0.00",
="03001X","元展01","0","0","0","--","--","--","--"," ","0.00","70.00","10","71.00","10","108.50",
="03002P","廣宇永豐6A售02","38,000","1","30,400","0.80","0.80","0.80","0.80","+","0.01","0.80","30","0.81","30","0.00",
="03003P","聯鈞永豐6A售02","250,000","3","132,500","0.53","0.53","0.53","0.53","-","0.02","0.53","10","0.54","10","0.00",
="03003X","元展03","0","0","0","--","--","--","--"," ","0.00","90.00","10","91.00","10","218.00",
="03004P","大同元大71售02","90,000","2","43,200","0.48","0.48","0.48","0.48"," ","0.00","0.48","100","0.49","100","0.00",
="03004X","元展04","0","0","0","--","--","--","--"," ","0.00","13.40","10","13.60","10","24.50",
="03005P","義隆元大6A售01","74,000","3","39,340","0.53","0.54","0.53","0.54","-","0.04","0.55","100","0.56","100","0.00",
="03005X","元展05","70,000","6","1,078,000","15.40","15.40","15.40","15.40"," ","0.00","15.30","10","15.50","31","24.85",
="03006P","聯發科元大6A售04","2,282,000","56","60,850","0.03","0.04","0.02","0.04","+","0.01","0.04","2","0.05","102","0.00",
="03006X","元展06","3,000","3","80,700","27.00","27.00","26.80","26.80","-","0.30","26.80","14","27.00","10","47.25",
="03007P","鴻海元大6A售10","1,035,000","27","46,330","0.04","0.05","0.04","0.04"," ","0.00","0.03","524","0.04","30","0.00",
="03007X","元展07","24,000","5","338,400","14.10","14.20","14.00","14.00","-","0.10","14.10","10","14.20","11","19.50",
="03008P","為升元富6A售02","335,000","3","167,460","0.48","0.51","0.48","0.51","-","0.02","0.51","25","0.52","25","0.00",
="03009P","樺漢凱基6A售05","0","0","0","--","--","--","--"," ","0.00","0.34","30","0.35","30","0.00",
="03009X","元展09","0","0","0","--","--","--","--"," ","0.00","22.90","10","23.20","10","29.65",
="03010P","大立光日盛6A售04","70,000","3","79,900","1.15","1.15","1.14","1.14","-","0.07","1.12","25","1.13","25","0.00",
="03010X","元展10","13,000","5","764,000","59.50","60.00","58.50","58.50","-","0.50","58.50","10","59.00","10","112.50",
="03011P","大立光統一6A售04","536,000","9","407,410","0.77","0.77","0.76","0.76","-","0.03","0.75","200","0.76","200","0.00",
="03012P","大立光統一6B售05","73,000","5","68,350","0.94","0.95","0.92","0.92","-","0.06","0.92","201","0.93","108","0.00",
="03012X","元展12","5,000","1","67,000","13.40","13.40","13.40","13.40","-","0.10","13.40","10","13.50","10","49.30",
="03013P","可成統一6A售07","0","0","0","--","--","--","--"," ","0.00","0.15","208","0.16","228","0.00",
="03013X","元展13","80,000","3","585,500","7.30","7.35","7.30","7.35","+","0.15","7.30","10","7.40","10","13.75",
="03014P","華邦電統一6A售04","253,000","2","148,270","0.57","0.59","0.57","0.59","X","0.00","0.59","20","0.60","10","0.00",
="03014X","元展14","522,000","1","7,673,400","--","--","--","--"," ","0.00","14.50","10","14.90","10","19.75",
="03015P","大立光群益6A售09","5,000","1","3,250","0.65","0.65","0.65","0.65","-","0.03","0.63","25","0.64","10","0.00",
="03015X","元展15","63,000","5","813,700","13.00","13.00","12.90","12.90","-","0.10","12.80","20","13.00","10","18.40",
="03016P","中鋼群益6B售02","506,000","6","379,380","0.73","0.76","0.73","0.74","-","0.01","0.73","25","0.74","10","0.00",
="03016X","元展16","17,000","2","31,110","1.83","1.83","1.83","1.83","X","0.00","1.83","50","1.85","50","8.38",
="03017P","致茂群益6B售02","0","0","0","--","--","--","--"," ","0.00","0.97","25","1.01","10","0.00",
="03017X","元展17","290,000","11","456,740","1.56","1.58","1.56","1.58","+","0.07","1.58","50","1.61","50","9.08",
="03018P","國巨群益6B售04","0","0","0","--","--","--","--"," ","0.00","0.93","25","0.95","10","0.00",
="03018X","元展18","0","0","0","--","--","--","--"," ","0.00","3.02","50","3.07","50","17.15",
="03019P","華新科群益6A售04","0","0","0","--","--","--","--"," ","0.00","1.33","25","1.34","10","0.00",
="03019X","元展19","348,000","6","960,540","2.76","2.77","2.76","2.77","+","0.03","2.75","70","2.77","50","15.70",
="03020P","鑽全群益6A售01","15,000","1","12,000","0.80","0.80","0.80","0.80","X","0.00","0.80","25","0.81","10","0.00",
="03020X","元展20","0","0","0","--","--","--","--"," ","0.00","2.79","5","2.83","50","17.15",
="03021P","大立光元大6A售11","0","0","0","--","--","--","--"," ","0.00","0.55","100","0.56","100","0.00",
="03021X","元展21","57,000","5","515,350","9.10","9.10","8.95","9.10","+","0.20","9.05","10","9.15","10","26.50",
="03022P","大立光元大6A售14","7,000","3","10,970","1.57","1.57","1.56","1.56","-","0.04","1.51","100","1.53","100","0.00",
="03022X","富展01","1,000","1","30,800","30.80","30.80","30.80","30.80","-","0.10","30.20","10","30.50","10","112.50",
="03023P","大立光元大6B售03","105,000","6","54,400","0.52","0.52","0.51","0.51","-","0.03","0.50","116","0.51","90","0.00",
="03023X","富展02","5,000","3","78,200","15.30","15.80","15.30","15.80","X","0.00","15.50","14","15.70","1","28.61",
="03024P","中租元大6A售03","0","0","0","--","--","--","--"," ","0.00","0.31","100","0.32","100","0.00",
="03024X","富展03","0","0","0","--","--","--","--"," ","0.00","50.50","10","51.00","10","218.00",
="03025P","台積電元大6A售06","355,000","11","63,550","0.17","0.18","0.17","0.17","-","0.02","0.16","105","0.17","70","0.00",
="03025X","元展22","0","0","0","--","--","--","--"," ","0.00","23.90","495","24.00","100","79.75",
="03026P","富邦金元大6B售03","76,000","3","64,600","0.85","0.85","0.85","0.85","X","0.00","0.85","100","0.86","100","0.00",
="03026X","元展23","26,000","9","106,480","4.05","4.17","4.05","4.17","+","0.15","4.17","99","4.22","100","16.29",
="03027P","微星兆豐6B售01","0","0","0","--","--","--","--"," ","0.00","0.45","10","0.46","10","0.00",
="03027X","元展24","17,000","4","138,500","8.00","8.20","8.00","8.20","X","0.00","8.15","100","8.35","100","28.61",
="03028P","國巨永豐6A售03","460,000","16","344,250","0.72","0.81","0.72","0.78","+","0.03","0.78","10","0.79","10","0.00",
="03028X","元展25","0","0","0","--","--","--","--"," ","0.00","22.60","10","23.10","1","72.50",
="03029P","華新科永豐6A售03","489,000","7","544,000","1.09","1.13","1.09","1.10"," ","0.00","1.09","30","1.10","30","0.00",
="03029X","元展26","0","0","0","--","--","--","--"," ","0.00","13.60","10","13.70","45","40.20",
="03030P","臺股指玉山6A售01","10,000","2","4,400","0.44","0.44","0.44","0.44","-","0.12","0.43","10","0.44","10","0.00",
="03031P","臺股指玉山6A售02","456,000","8","200,890","0.45","0.45","0.42","0.42","-","0.07","0.42","15","0.43","10","0.00",
="03031X","元展28","0","0","0","--","--","--","--"," ","0.00","6.50","10","6.55","11","48.00",
="03032P","大立光國泰6A售10","33,000","3","45,410","1.38","1.38","1.37","1.37","-","0.06","1.36","30","1.37","27","0.00",
="03032X","元展29","0","0","0","--","--","--","--"," ","0.00","8.45","100","8.55","100","15.05",
="03033P","大立光國泰6A售11","25,000","2","30,000","1.20","1.20","1.20","1.20","-","0.03","1.19","420","1.20","206","0.00",
="03033X","元展30","0","0","0","--","--","--","--"," ","0.00","13.20","10","13.30","10","366.00",
="03034P","大立光國泰6A售12","0","0","0","--","--","--","--"," ","0.00","1.10","450","1.11","153","0.00",
="03035P","大立光國泰6A售13","19,000","4","17,810","0.95","0.95","0.93","0.93","-","0.06","0.93","499","0.94","81","0.00",
="03035X","元展32","2,000","2","10,450","5.20","5.25","5.20","5.25","X","0.00","5.20","10","5.25","10","24.05",
="03036P","大立光元富6A售06","0","0","0","--","--","--","--"," ","0.00","0.94","25","0.95","25","0.00",
="03037P","大立光元富6A售07","876,000","7","988,900","1.12","1.14","1.12","1.14","-","0.02","1.11","25","1.12","25","0.00",
="03038P","大立光元富6A售08","0","0","0","--","--","--","--"," ","0.00","0.97","25","0.98","25","0.00",
="03038X","元展35","0","0","0","--","--","--","--"," ","0.00","14.60","10","14.70","10","97.30",
="03039P","大立光統一6B售08","123,000","1","142,680","1.16","1.16","1.16","1.16","-","0.02","1.14","20","1.15","10","0.00",
="03039X","元展36","5,000","1","30,500","6.10","6.10","6.10","6.10","+","0.10","6.05","10","6.15","10","286.00",
="03040P","華新科凱基6A售02","28,000","2","39,300","1.41","1.41","1.40","1.40","-","0.05","1.42","30","1.43","30","0.00",
="03040X","元展37","30,000","1","149,400","4.98","4.98","4.98","4.98","-","0.12","4.98","10","5.00","10","12.40",
="03041P","台積電元大6A售07","80,000","2","18,400","0.23","0.23","0.23","0.23","-","0.02","0.22","102","0.23","50","0.00",
="03041X","元展38","43,000","11","249,500","5.65","5.90","5.65","5.90","+","0.30","5.85","2","5.90","10","169.50",
="03042P","華通元大71售01","100,000","1","45,000","0.45","0.45","0.45","0.45","X","0.00","0.47","100","0.48","100","0.00",
="03042X","元展39","1,000","1","8,550","8.55","8.55","8.55","8.55","X","0.00","8.55","10","8.65","10","37.75",
