

2016年09月14日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
="00666R","富邦H股反1      ","1253000","62","23326790","18.58","18.66","18.5","18.63","+","0.26","18.62","18","18.63","45","0.00"
="008201","BP上證50        ","2700","4","219615","80.85","81.7","80.85","81.5","-","0.2","81","2","81.5","40","0.00"
="01001T","土銀富邦R1      ","139000","19","2219180","16","16.04","15.95","15.95","-","0.1","15.95","10","16","20","0.00"
="01002T","土銀國泰R1      ","4011000","975","64058000","16.79","16.79","15.65","15.65","-","1.1","15.6","18","15.65","1,338","0.00"
="01003T","兆豐新光R1      ","889000","129","12289340","14.22","14.22","13.65","13.65","-","0.62","13.2","5","13.65","1,100","0.00"
="01004T","土銀富邦R2      ","86000","9","1191650","13.86","13.9","13.8","13.8","-","0.1","13.85","15","13.89","14","0.00"
="01007T","兆豐國泰R2      ","1328000","236","20482600","16.02","16.02","15.35","15.35","-","0.66","15.32","10","15.35","521","0.00"
"1101  ","台泥            ","10428547","3713","356804919","34.2","35.05","33.95","33.95","-","0.45","33.95","652","34.15","1","25.34"
"1102  ","亞泥            ","6181686","2019","163719836","26.3","26.7","26.2","26.6","+","0.25","26.5","84","26.6","190","46.67"
"1103  ","嘉泥            ","4081404","207","35843299","8.84","8.87","8.78","8.78","-","0.07","8.77","12","8.78","384","125.43"
"1104  ","環泥            ","376180","146","9004459","23.8","24.05","23.75","24.05","+","0.15","23.85","8","24.05","17","9.25"
"1108  ","幸福            ","58000","34","534600","9.21","9.25","9.21","9.21"," ","0","9.21","11","9.24","4","10.71"
"1109  ","信大            ","109400","29","1116130","10.15","10.25","10.15","10.25","+","0.1","10.2","22","10.3","4","51.25"
"1110  ","東泥            ","11000","4","167250","15.2","15.25","15.2","15.25","X","0","15.2","9","15.3","11","40.13"
"1201  ","味全            ","420011","131","7766804","18.5","18.6","18.4","18.6","+","0.15","18.45","1","18.6","44","0.00"
"1203  ","味王            ","25379","19","547348","21.5","21.65","21.5","21.65","+","0.1","21.55","16","21.65","5","20.42"
"1210  ","大成            ","1458045","725","38465681","26.5","26.55","26.2","26.55","+","0.05","26.45","1","26.55","84","13.34"
"1213  ","大飲            ","27000","19","420400","15.7","15.85","15.45","15.65","-","0.05","15.65","1","15.7","4","46.03"
"1215  ","卜蜂            ","4022081","2094","150156108","38.15","38.25","36.95","37.3","-","0.95","37.3","16","37.35","17","10.48"
"1216  ","統一            ","15142747","5604","853987059","56.7","57","56","56","-","1.4","56","1,045","56.1","116","21.96"
"1217  ","愛之味          ","649460","210","4979771","7.7","7.71","7.62","7.71","+","0.06","7.68","44","7.71","39","45.35"
"1218  ","泰山            ","1213221","355","18410944","15.1","15.25","15.1","15.25","-","0.05","15.15","184","15.25","98","18.83"
"1219  ","福壽            ","12844","10","198396","15.45","15.45","15.45","15.45","+","0.15","15.25","3","15.45","7","30.29"
"1220  ","台榮            ","192809","69","2073936","10.9","10.9","10.6","10.9"," ","0","10.85","2","10.9","22","10.9"
"1225  ","福懋油          ","31259","29","1630042","49.55","52.7","49.55","52.5","+","0.3","52.5","7","52.6","7","16.3"
"1227  ","佳格            ","1171760","960","90962080","77.2","78.3","77","78","+","0.2","77.8","6","78","25","22.48"
"1229  ","聯華            ","540333","212","11145722","20.5","20.8","20.5","20.8","+","0.15","20.75","11","20.8","15","13.68"
"1231  ","聯華食          ","86433","66","2513957","29.2","29.3","29","29","-","0.2","29","28","29.05","2","10.03"
"1232  ","大統益          ","120578","84","9846284","81","82.3","81","82","+","1","82","3","82.1","6","13.99"
"1233  ","天仁            ","9000","6","334350","37.05","37.35","37.05","37.1","-","0.1","37.1","5","37.4","1","16.13"
"1234  ","黑松            ","179000","155","5847597","33","33","32.45","32.45","-","0.65","32.45","3","32.7","2","11.76"
"1235  ","興泰            ","1384539","952","41591970","28","30.75","28","30.75","+","2.75","30.5","2","30.75","1","8.27"
"1236  ","宏亞            ","13003","9","248557","19.2","19.2","19","19.1"," ","0","19.1","1","19.2","4","45.48"
"1256  ","鮮活果汁-KY     ","38200","36","5624400","149","149","146","147","-","2","146.5","2","148.5","1","20.65"
"1262  ","綠悅-KY         ","350800","289","51129899","145","146.5","145","145.5"," ","0","145.5","39","146","18","13.01"
"1301  ","台塑            ","7565604","2677","574926353","76","76.5","75.9","75.9","-","0.6","75.9","376","76","24","14.94"
"1303  ","南亞            ","9558178","3710","569715430","60","60.2","59.4","59.4","-","0.6","59.4","836","59.5","206","16.27"
"1304  ","台聚            ","3068568","712","42791667","14.05","14.15","13.85","14.05"," ","0","14","2","14.05","168","13.25"
"1305  ","華夏            ","7473204","2633","138194174","18.1","18.7","18.1","18.5","+","0.45","18.5","298","18.55","156","9.3"
"1307  ","三芳            ","197365","150","7114847","36.1","36.25","36","36.05","-","0.25","36","5","36.05","18","11.27"
"1308  ","亞聚            ","437214","173","7685284","17.5","17.65","17.45","17.65","+","0.05","17.65","23","17.7","13","16.5"
"1309  ","台達化          ","372331","90","2824775","7.68","7.68","7.51","7.53","-","0.02","7.53","9","7.59","20","0.00"
"1310  ","台苯            ","1718457","507","26897292","15.7","15.8","15.6","15.65","-","0.1","15.6","352","15.65","23","10.43"
"1312  ","國喬            ","1703418","533","26615358","15.5","15.7","15.5","15.7","+","0.1","15.65","3","15.7","67","11.89"
"1312A ","國喬特          ","0","0","0","--","--","--","--"," ","0","23.4","5","23.8","1","0.00"
"1313  ","聯成            ","327671","179","3146659","9.56","9.65","9.54","9.62","+","0.06","9.56","2","9.62","77","0.00"
"1314  ","中石化          ","3913879","1099","29370564","7.5","7.57","7.47","7.54","+","0.01","7.53","5","7.54","29","0.00"
"1315  ","達新            ","33000","10","800600","24.4","24.4","24.2","24.2","+","0.05","24.15","2","24.3","4","17.41"
"1316  ","上曜            ","84608","25","934748","11.1","11.15","11","11.15"," ","0","11.05","11","11.2","34","0.00"
"1319  ","東陽            ","3296116","2222","212194322","62.7","65.1","62.7","65.1","+","1.9","65","2","65.1","85","16.87"
"1321  ","大洋            ","97590","18","2478109","25.5","25.5","25.3","25.3","-","0.3","25.3","3","25.45","1","194.62"
"1323  ","永裕            ","118896","73","3806519","31.85","32.35","31.8","32","+","0.05","32","1","32.1","4","10.56"
"1324  ","地球            ","91000","35","1134000","12.2","12.6","12.2","12.6","+","0.35","12.55","17","12.6","2","12.6"
"1325  ","恆大            ","19000","13","367650","19.4","19.4","19.3","19.4"," ","0","19.35","14","19.4","3","14.92"
"1326  ","台化            ","7880742","2923","636800521","81.2","82.1","80.5","80.5","-","1.3","80.5","584","80.6","15","13.86"
"1337  ","再生-KY         ","518006","263","9580958","18.45","18.6","18.45","18.5","-","0.05","18.5","80","18.55","17","8.81"
"1338  ","廣華-KY         ","652379","468","77596222","120","120","118","119","-","1","118.5","13","119","16","13.93"
"1339  ","昭輝            ","91000","70","3888850","42.65","42.95","42.6","42.7","-","0.4","42.7","20","42.75","1","9.7"
"1340  ","勝悅-KY         ","268874","195","15920375","59","59.6","58.9","59.2","+","0.1","59.2","10","59.3","3","7.29"
"1402  ","遠東新          ","5262597","1493","123813260","23.35","23.7","23.35","23.55","+","0.05","23.55","210","23.6","219","29.44"
"1409  ","新纖            ","651452","265","5551154","8.43","8.69","8.35","8.69","+","0.23","8.62","23","8.69","21","17.38"
"1410  ","南染            ","8004","10","193396","24.1","24.55","24.1","24.55","X","0","24.15","2","24.6","1","14.61"
"1413  ","宏洲            ","0","0","0","--","--","--","--"," ","0","6.21","6","6.38","1","0.00"
